"","Species","Site","Plot","Tree","Sample","Volume","BranchDryMass","Diameter","Notes_WD","WD","Flag_WD","Branchtag","Treetag","Plottag","Sitetag","Lat","Lon","StandBA","TreeDBH","pAI","AI","pAIscaled","pPPT","PPT","pPPTscaled","pPET","PET","pPETscaled","pMD","MD","pMDscaled","Stem_Di","Stem_Length","Stem_wet","Leaf_wet","Leaf_dry","Stem_dry","Notes_LDMC","LDMC","Flag_LDMC","nleaves","tot_area","avg_area","median_area","max_area","min_area","avg_width","avg_height","avg_major","avg_minor","avg_circ","avg_Feret","avg_FeretAngle","avg_AR","avg_Round","avg_Solidity","nscans","SLA","LMA","Al_As","Flag_Area","Loc","Tot_dry","nBranches","Herbivory","Scars","New_Leaves","AIscaled","PETscaled","PPTscaled","MDscaled","Stem_Di_corrected"
"657","ESAL","BEN","C",3,"3",5.35,3.9423,7.6,"",0.736878505,0,"ESAL-BEN-C-3-3","ESAL-BEN-C-3","ESAL-BEN-C","ESAL-BEN",-32.406631,118.378543,NA,NA,0.2345,0.234166666666667,-1.00859614555966,344.9495,344.927166666667,-1.01364772498123,1471,1473,0.889391643604608,1126.0505,1128.07283333333,1.07936317797907,0.83,6.7,NA,1.645,0.9391,0.0393,"",0.570881459,0,6,30.246,5.041,4.5245,7.987,2.763,5.95616666666667,3.78516666666667,5.26266666666667,1.1975,0.1825,7.111,108.6295,4.41,0.241833333333333,0.550333333333333,1,32.2074326482803,0.0310487337168551,55.9029453820451,0,"WA",0.9784,NA,"",NA,0,-1.00975641761082,0.903748106975572,-1.01360100341671,1.08422835578961,0.83
"658","ESAL","BEN","C",4,"1",4.81,3.6699,7.1,"",0.762972973,0,"ESAL-BEN-C-4-1","ESAL-BEN-C-4","ESAL-BEN-C","ESAL-BEN",-32.406631,118.378543,NA,NA,0.2345,0.234166666666667,-1.00859614555966,344.9495,344.927166666667,-1.01364772498123,1471,1473,0.889391643604608,1126.0505,1128.07283333333,1.07936317797907,1.44,15,NA,1.828,1.0042,0.2634,"",0.5493435449,0,5,32.004,6.4008,6.523,9.355,2.746,7.8346,2.1512,6.9672,1.1726,0.1982,8.033,101.2752,5.994,0.2024,0.7832,1,31.8701453893647,0.0313773278340208,19.6517940827984,0,"WA",1.2676,4,"",NA,0,-1.00975641761082,0.903748106975572,-1.01360100341671,1.08422835578961,1.44
"659","ESAL","BEN","C",4,"2",3.9,2.9184,7.1,"",0.748307692,0,"ESAL-BEN-C-4-2","ESAL-BEN-C-4","ESAL-BEN-C","ESAL-BEN",-32.406631,118.378543,NA,NA,0.2345,0.234166666666667,-1.00859614555966,344.9495,344.927166666667,-1.01364772498123,1471,1473,0.889391643604608,1126.0505,1128.07283333333,1.07936317797907,0.615,2.3,NA,0.733,0.3926,0.0146,"",0.5356070941,0,3,11.548,3.84933333333333,4.879,5.621,1.048,4.557,2.10233333333333,4.09733333333333,1.09733333333333,0.268333333333333,4.89933333333333,24.7736666666667,3.558,0.299666666666667,0.798333333333333,1,29.4141619969435,0.0339972289573952,38.8758117927876,0,"WA",0.4072,NA,"HEAVY",NA,0,-1.00975641761082,0.903748106975572,-1.01360100341671,1.08422835578961,0.615
"660","ESAL","BEN","C",4,"3",3.23,2.4798,6.3,"",0.767739938,0,"ESAL-BEN-C-4-3","ESAL-BEN-C-4","ESAL-BEN-C","ESAL-BEN",-32.406631,118.378543,NA,NA,0.2345,0.234166666666667,-1.00859614555966,344.9495,344.927166666667,-1.01364772498123,1471,1473,0.889391643604608,1126.0505,1128.07283333333,1.07936317797907,1.135,10.4,NA,2.242,1.2382,0.1399,"",0.5522747547,0,5,39.304,7.8608,9.308,10.192,2.618,7.3552,4.5606,7.6552,1.2734,0.1638,9.1386,25.5732,5.9268,0.184,0.7116,1,31.742852527863,0.0315031548951761,38.8479365154897,0,"WA",1.3781,NA,"MID",NA,0,-1.00975641761082,0.903748106975572,-1.01360100341671,1.08422835578961,1.135
"661","ESAL","BEN","C",5,"1",2.62,1.9054,6.5,"",0.727251908,0,"ESAL-BEN-C-5-1","ESAL-BEN-C-5","ESAL-BEN-C","ESAL-BEN",-32.406631,118.378543,NA,NA,0.2345,0.234166666666667,-1.00859614555966,344.9495,344.927166666667,-1.01364772498123,1471,1473,0.889391643604608,1126.0505,1128.07283333333,1.07936317797907,0.785,7.9,NA,1.157,0.6307,0.0717,"",0.5451166811,0,5,23.322,4.6644,4.282,7.22,2.67,5.5508,2.6588,5.0166,1.1454,0.2166,6.301,128.0654,4.309,0.238,0.753,1,36.977960995719,0.0270431352371152,48.1891654096473,0,"WA",0.7024,NA,"",NA,0,-1.00975641761082,0.903748106975572,-1.01360100341671,1.08422835578961,0.785
"662","ESAL","BEN","C",5,"2",3.58,2.5156,6,"",0.702681564,0,"ESAL-BEN-C-5-2","ESAL-BEN-C-5","ESAL-BEN-C","ESAL-BEN",-32.406631,118.378543,NA,NA,0.2345,0.234166666666667,-1.00859614555966,344.9495,344.927166666667,-1.01364772498123,1471,1473,0.889391643604608,1126.0505,1128.07283333333,1.07936317797907,0.68,4.3,NA,1.218,0.6577,0.0293,"",0.5399835796,0,4,24.447,6.11175,6.4525,6.832,4.71,5.062,4.0295,5.684,1.379,0.25225,7.03175,79.0115,4.166,0.25225,0.7945,1,37.1704424509655,0.0269030964944574,67.3179177954242,0,"WA",0.687,NA,"",NA,0,-1.00975641761082,0.903748106975572,-1.01360100341671,1.08422835578961,0.68
"663","ESAL","BEN","C",5,"3",4.23,3.2025,6.4,"",0.757092199,0,"ESAL-BEN-C-5-3","ESAL-BEN-C-5","ESAL-BEN-C","ESAL-BEN",-32.406631,118.378543,NA,NA,0.2345,0.234166666666667,-1.00859614555966,344.9495,344.927166666667,-1.01364772498123,1471,1473,0.889391643604608,1126.0505,1128.07283333333,1.07936317797907,0.76,3.1,NA,0.836,0.4704,0.0335,"",0.5626794258,0,4,15.055,3.76375,2.845,8.558,0.807,5.14775,1.24625,4.32125,0.94075,0.249,5.1895,127.96375,4.43525,0.23975,0.783,1,32.0046768707483,0.031245433410827,33.1876500939306,0,"WA",0.5039,NA,"",NA,0,-1.00975641761082,0.903748106975572,-1.01360100341671,1.08422835578961,0.76
"664","ESAL","GNO","A",1,"1",2.57,1.8223,7.6,"",0.709066148,0,"ESAL-GNO-A-1-1","ESAL-GNO-A-1","ESAL-GNO-A","ESAL-GNO",-33.96299,118.06613,NA,90.7,0.2799,0.278666666666667,-0.847531672528748,361.9107,360.223666666667,-0.960699239631082,1293,1292.66666666667,-0.344944116923501,931.0893,932.443,0.614790565521109,0.465,15.3,NA,1.57,0.7954,0.1034,"",0.5066242038,0,7,35.612,5.08742857142857,4.061,8.69,1.476,4.40742857142857,3.77571428571429,5.23428571428571,1.16814285714286,0.264142857142857,6.31657142857143,61.5511428571429,4.39457142857143,0.239571428571429,0.791857142857143,1,44.7724415388484,0.0223351679209255,44.0136319501155,0,"WA",0.8988,2,"LIGHT",NA,0,-0.851877452692843,-0.34717727493291,-0.965849373338728,0.618033385155626,1.015
"665","ESAL","GNO","A",1,"2",3.77,2.6127,9,"",0.693023873,0,"ESAL-GNO-A-1-2","ESAL-GNO-A-1","ESAL-GNO-A","ESAL-GNO",-33.96299,118.06613,NA,90.7,0.2799,0.278666666666667,-0.847531672528748,361.9107,360.223666666667,-0.960699239631082,1293,1292.66666666667,-0.344944116923501,931.0893,932.443,0.614790565521109,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,29.542,5.9084,4.52,9.424,3.141,4.951,4.3946,5.9204,1.2186,0.27,6.689,41.847,4.9474,0.2086,0.7956,1,NA,NA,NA,0,"WA",NA,NA,NA,NA,NA,-0.851877452692843,-0.34717727493291,-0.965849373338728,0.618033385155626,NA
"666","ESAL","GNO","A",1,"3",2.7,1.877,6.5,"",0.695185185,0,"ESAL-GNO-A-1-3","ESAL-GNO-A-1","ESAL-GNO-A","ESAL-GNO",-33.96299,118.06613,NA,90.7,0.2799,0.278666666666667,-0.847531672528748,361.9107,360.223666666667,-0.960699239631082,1293,1292.66666666667,-0.344944116923501,931.0893,932.443,0.614790565521109,0.415,5.6,NA,0.99,0.5287,0.0696,"",0.534040404,0,4,20.134,5.0335,4.9445,6.901,3.344,6.55925,2.77275,5.791,1.09025,0.22375,7.14325,16.07075,5.27125,0.19225,0.72125,1,38.0820881407225,0.0262590642693951,27.5295026116704,0,"WA",0.5983,2,"LIGHT",NA,0,-0.851877452692843,-0.34717727493291,-0.965849373338728,0.618033385155626,0.965
